participant,group,Lefthanded,Gender,A_V_OK,Event,condition,CONTEXT_Trial,CONTEXT_Item,CONTEXT_Accuracy,CONTEXT_RT,CONTEXT_Position,CONTEXT_cat,CONTEXT_catspec,CONTEXT_solution,CONTEXT_property,CONTEXT_concept,CONTEXT_LSA_distance,CONTEXT_mean_perceptualstrength,CONTEXT_mean_concreteness,CONTEXT_mean_exc,CONTEXT_prop_concreteness,CONTEXT_prop_exc,CONTEXT_prop_lg10CD,CONTEXT_prop_orthneigh,CONTEXT_prop_letters,CONTEXT_conc_concreteness,CONTEXT_conc_exc,CONTEXT_conc_lg10CD,CONTEXT_conc_letters,CONTEXT_mean_lg10CD,CONTEXT_conc_orthneigh,TARGET_Trial,TARGET_Item,TARGET_Accuracy,TARGET_RT,TARGET_Position,TARGET_cat,TARGET_catspec,TARGET_solution,TARGET_property,TARGET_concept,TARGET_LSA_distance,TARGET_mean_perceptualstrength,TARGET_mean_concreteness,TARGET_mean_exc,TARGET_prop_concreteness,TARGET_prop_exc,TARGET_prop_lg10CD,TARGET_prop_orthneigh,TARGET_prop_letters,TARGET_conc_concreteness,TARGET_conc_exc,TARGET_conc_lg10CD,TARGET_conc_letters,TARGET_mean_lg10CD,TARGET_conc_orthneigh,log_cooccurrence_propertytoproperty
19,Selfpaced,N,F,Y,12,haptic2visual,23,112,rightanswer,2549,context,haptic,h_de,Nee,Schurende,Spier,NA,3.357,4.67,0.195349848,NA,0.102564103,0.48,1,9,NA,0.288135593,2.04,5,1.26,4,24,15,rightanswer,2231,target,visual,v_de,Nee,Betoverende,Plug,0.938647,2.85,3.2,0.330434783,NA,0.260869565,1.72,2,11,NA,0.4,1.56,4,1.64,3,0
20,Selfpaced,N,F,Y,12,auditory2visual,23,191,wronganswer,489,context,auditory,a_het,Nee,Schreeuwend,Compliment,0.977691,3.444,3.035,0.308147397,NA,0.224137931,2.02,2,11,NA,0.392156863,2.59,10,2.305,0,24,83,rightanswer,483,target,visual,v_de,Ja,Metalen,Plug,0.86532,3.75,4.1,0.3,NA,0.2,2.38,1,7,NA,0.4,1.56,4,1.97,3,0
21,Selfpaced,N,F,Y,12,auditory2visual,23,181,rightanswer,898,context,auditory,a_de,Ja,Zeurende,Wrok,NA,2.548,1.8,0.179861111,NA,0.270833333,1.38,2,8,NA,0.088888889,2.2,4,1.79,4,24,88,wronganswer,504,target,visual,v_de,Ja,Soepele,Substituut,0.99406,2.75,2.58,0.340263692,NA,0.327586207,1.56,3,7,NA,0.352941176,0.6,10,1.08,0,5.068904202
22,Selfpaced,N,M,Y,12,haptic2visual,23,113,rightanswer,1056,context,haptic,h_het,Nee,Kietelend,Pistool,NA,4.089,4.87,0.2,NA,0.307692308,0.6,1,9,NA,0.092307692,3.23,7,1.915,0,24,27,rightanswer,878,target,visual,v_de,Nee,Gebogen,Gelegenheid,0.96045,3.151,2.835,0.383802817,NA,0.267605634,2.04,8,7,NA,0.5,2.75,11,2.395,1,3.713572067
23,Selfpaced,N,F,Y,12,auditory2visual,23,210,rightanswer,2072,context,auditory,a_het,Ja,Geluidloos,Antwoord,0.810143,4,2.835,0.470746108,NA,0.52173913,1.11,0,10,NA,0.419753086,3.53,8,2.32,1,24,99,rightanswer,721,target,visual,v_de,Nee,Gloeiende,Prijs,0.941964,3.775,3.24,0.425925926,NA,0.5,1.68,4,9,NA,0.351851852,3.38,5,2.53,3,0
24,Selfpaced,Y,M,Y,12,visual2visual,23,174,wronganswer,1257,context,visual,v_de,Ja,Ruige,Pupil,0.89657,3.813,3.265,0.391598916,NA,0.222222222,2.09,5,5,NA,0.56097561,1.66,5,1.875,0,24,70,rightanswer,1010,target,visual,v_het,Nee,Onbeweeglijk,Gebaar,0.872001,3.722,3.03,0.51532567,NA,0.444444444,1.23,0,12,NA,0.586206896,2.48,6,1.855,4,0
26,Quick,N,F,Y,12,visual2visual,23,173,rightanswer,444,context,visual,v_het,Nee,Licht,Fortuin,0.945551,3.173,3.265,0.38125,NA,0.5125,3.43,10,5,NA,0.25,2.69,7,3.06,0,24,39,rightanswer,409,target,visual,v_het,Ja,Hol,Bezit,0.907924,3.414,3.2,0.167601381,NA,0.236842105,2.56,9,3,NA,0.098360656,3.16,5,2.86,4,7.747164967
27,Quick,Y,F,Y,12,haptic2visual,23,141,wronganswer,496,context,haptic,h_het,Ja,Koel,Heft,0.866279,2.75,3.055,0.395833333,NA,0.458333333,2.52,17,4,NA,0.333333333,2.03,4,2.275,8,24,4,wronganswer,722,target,visual,v_de,Ja,Beschimmelde,Levering,0.87933,3.333,3.335,0.272727273,NA,0.5,1.2,0,12,NA,0.045454546,2.19,8,1.695,1,0
28,Quick,N,F,Y,12,haptic2visual,23,111,wronganswer,706,context,haptic,h_het,Nee,Gewichtloos,Geweer,0.774708,3.214,3.83,0.177732794,NA,0.263157895,1.28,0,11,NA,0.092307692,3.06,6,2.17,3,24,15,wronganswer,847,target,visual,v_de,Nee,Betoverende,Plug,0.938647,2.85,3.2,0.330434783,NA,0.260869565,1.72,2,11,NA,0.4,1.56,4,1.64,3,0
29,Quick,N,F,Y,12,visual2visual,23,145,rightanswer,654,context,visual,v_het,Nee,Breekbaar,Loon,0.920184,2.636,3.1,0.160427808,NA,0.161764706,1.9,0,9,NA,0.159090909,2.8,4,2.35,13,24,37,rightanswer,2167,target,visual,v_het,Ja,Brak,Bezit,0.901718,3.314,2.71,0.149180328,NA,0.2,2.9,7,4,NA,0.098360656,3.16,5,3.03,4,4.700480366
30,Quick,N,M,Y,12,haptic2visual,23,132,wronganswer,1074,context,haptic,h_de,Nee,Stekelige,Deken,0.795281,3.786,4.465,0.284749035,NA,0.285714286,0.9,0,9,NA,0.283783784,2.6,5,1.75,18,24,27,rightanswer,1476,target,visual,v_de,Nee,Gebogen,Gelegenheid,0.96045,3.151,2.835,0.383802817,NA,0.267605634,2.04,8,7,NA,0.5,2.75,11,2.395,1,0
31,Quick,Y,F,Y,12,visual2visual,23,175,rightanswer,734,context,visual,v_de,Nee,Kleine,Reus,0.710016,3.679,3.5,0.404761905,NA,0.476190476,3.67,4,6,NA,0.333333333,2.29,4,2.98,7,24,43,rightanswer,291,target,visual,v_het,Nee,Koortsig,Fortuin,1.05603,2.414,2.635,0.25,NA,0.25,1.42,0,8,NA,0.25,2.69,7,2.055,0,7.290974778
32,Quick,N,F,N,12,haptic2visual,23,133,rightanswer,440,context,haptic,h_het,Nee,Borstelig,Heft,0.898736,3.25,3.155,0.338095238,NA,0.342857143,0.48,0,9,NA,0.333333333,2.03,4,1.255,8,24,19,wronganswer,890,target,visual,v_de,Ja,Jankende,Proportie,NA,3.013,1.8,0.346082779,NA,0.207317073,1.36,2,8,NA,0.484848485,1.32,9,1.34,1,0
34,Selfpaced,Y,M,Y,12,visual2visual,23,161,rightanswer,971,context,visual,v_de,Nee,Dode,Levering,0.939932,2.556,3.265,0.287433156,NA,0.529411765,3.24,19,4,NA,0.045454546,2.19,8,2.715,1,24,53,wronganswer,893,target,visual,v_de,Nee,Enorme,Plug,0.970384,3.25,2.965,0.338888889,NA,0.277777778,3.16,2,6,NA,0.4,1.56,4,2.36,3,6.964135612
